as_of,n_pairs,mean_rs,breadth,breadth_centered,weighted,mean_signal,breadth_signal,weighted_signal,mean_cost,breadth_cost,weighted_cost,kr_return,us_return,mean_strategy,breadth_strategy,weighted_strategy,blend_return
2023-03-31,8,-0.03075,0.25,-0.25,0.01538,US,US,KR,0.0,0.0,0.0,0.01,0.0146,0.0146,0.0146,0.01,0.0123
2023-04-28,8,-0.02425,0.5,0.0,-0.0,US,US,KR,0.0,0.0,0.0,0.0302,0.0025,0.0025,0.0025,0.0302,0.0163
2023-05-31,8,0.00083,0.625,0.125,0.00021,US,US,KR,0.0,0.0,0.0,-0.005,0.0647,0.0647,0.0647,-0.005,0.0299
2023-06-30,8,-0.08293,0.0,-0.5,0.08293,US,US,KR,0.0,0.0,0.0,0.0266,0.0311,0.0311,0.0311,0.0266,0.0289
2023-07-31,8,-0.0728,0.125,-0.375,0.0546,US,US,KR,0.0,0.0,0.0,-0.029,-0.0177,-0.0177,-0.0177,-0.029,-0.0234
2023-08-31,8,-0.07117,0.25,-0.25,0.03558,US,US,KR,0.0,0.0,0.0,-0.0357,-0.0487,-0.0487,-0.0487,-0.0357,-0.0422
2023-09-29,8,-0.0284,0.375,-0.125,0.0071,US,US,KR,0.0,0.0,0.0,-0.0531,-0.022,-0.022,-0.022,-0.0531,-0.0375
2023-10-31,8,-0.06771,0.25,-0.25,0.03385,US,US,KR,0.0,0.0,0.0,0.113,0.0892,0.0892,0.0892,0.113,0.1011
2023-11-30,8,-0.03558,0.125,-0.375,0.02669,US,US,KR,0.0,0.0,0.0,0.0473,0.0442,0.0442,0.0442,0.0473,0.0458
2023-12-29,8,-0.00468,0.375,-0.125,0.00117,US,US,KR,0.0,0.0,0.0,-0.0647,0.0159,0.0159,0.0159,-0.0647,-0.0244
